,analysis_group,rf_prob_unmed,rf_prob_control,rf_dist_to_control,rf_dist_to_unmed,rf_relative_position,lr_prob_unmed,lr_prob_control,lr_dist_to_control,lr_dist_to_unmed,lr_relative_position,xgb_prob_unmed,xgb_prob_control,xgb_dist_to_control,xgb_dist_to_unmed,xgb_relative_position
2,0,0.15371122721638988,0.8462887727836101,0.020834824127993617,0.457650126048774,0.043543321728920774,0.1538436142987589,0.8461563857012411,0.15359020727034037,0.5397888794372898,-0.39769739861753073,0.0073459037,0.9926541,0.0049885567,0.97707385,-0.0051318095
4,0,0.10388667409070042,0.8961133259092996,0.02898972899769585,0.5074746791744634,-0.060586501178325716,0.7145687951536766,0.28543120484632345,0.4071349735845773,0.02093630141762781,1.0542112206138743,0.011405143,0.98859483,0.00092931744,0.9730146,-0.000956004
12,0,0.06372317012894595,0.9362768298710541,0.06915323295945032,0.5476381831362179,-0.14452540865476107,0.07992316153703723,0.9200768384629627,0.22751066003206205,0.6137093321990115,-0.5891026469757298,0.007534947,0.9924651,0.0047995136,0.97688484,-0.0049373377
13,0,0.1969607049105428,0.8030392950894572,0.06408430182214653,0.41440064835462104,0.13393169795303228,0.7696767865705976,0.23032321342940243,0.4622429650014983,0.07604429283454883,1.1969045942283192,0.015342575,0.9846574,0.0030081142,0.96907717,0.0030944962
14,0,0.12078774840599062,0.8792122515940094,0.01208865468240565,0.49057360485917323,-0.025264440768596203,0.41008434856312326,0.5899156514368767,0.102650526994024,0.2835481451729255,0.2657972033359278,0.0071776565,0.99282235,0.005156804,0.9772421,-0.0053048884
16,0,0.1253063524258268,0.8746936475741732,0.007570050662569466,0.48605500083933706,-0.015820875159757584,0.011324199422775683,0.9886758005772243,0.2961096221463236,0.682308294313273,-0.7667287421908033,0.007786848,0.99221313,0.0045476123,0.9766329,-0.004678203
17,0,0.11748654458506,0.88251345541494,0.015389858503336268,0.4938748086801038,-0.032163725311842646,0.6921517989483141,0.30784820105168587,0.38471797737921487,0.0014806947877346044,0.9961659764922897,0.008581914,0.99141806,0.0037525464,0.9758378,-0.0038603058
22,0,0.15838509896640174,0.8416149010335983,0.025508695878005472,0.4529762542987621,0.05331138600823651,0.5842264627337698,0.41577353726623023,0.2767926411646705,0.10940603100227897,0.7167104941391825,0.009126629,0.9908734,0.0032078316,0.97529316,-0.0032999488
23,0,0.087012773713858,0.912987226286142,0.045863629374538264,0.5243485795513059,-0.09585176996182383,0.4077644475705122,0.5922355524294878,0.10033062600141296,0.2858680461655365,0.25979018891613676,0.006145299,0.9938547,0.0061891614,0.97827446,-0.0063668913
29,0,0.0821065567455916,0.9178934432544084,0.05076984634280467,0.5292547965195722,-0.1061054194579133,0.10125125462370024,0.8987487453762998,0.20618256694539902,0.5923812391123485,-0.5338769441865625,0.0033652738,0.9966347,0.008969187,0.9810545,-0.009226749
30,0,0.14601943909145046,0.8539805609085496,0.013143036003054193,0.4653419141737134,0.02746802380764272,0.10026287927741816,0.8997371207225818,0.2071709422916811,0.5933696144586306,-0.5364361848507945,0.010953577,0.9890464,0.0013808832,0.97346616,-0.001420537
31,0,0.1080281158367082,0.8919718841632918,0.02484828725168807,0.5033332374284556,-0.051931178279501417,0.16122252089279954,0.8387774791072005,0.14621130067629973,0.5324099728432492,-0.3785908943081352,0.0073964684,0.99260354,0.004937992,0.9770233,-0.005079793
33,0,0.1167043599368585,0.8832956400631415,0.016172043151537766,0.4946569933283053,-0.03379843638877941,0.15711990016951846,0.8428800998304815,0.1503139213995808,0.5365125935665302,-0.3892139777596173,0.0052513485,0.99474865,0.007083112,0.9791684,-0.0072865128
34,0,0.09115781458621722,0.9088421854137828,0.04171858850217905,0.5202035386789466,-0.08718892514125444,0.9047440390215797,0.09525596097842026,0.5973102174524805,0.211111545285531,1.5466397491762214,0.008876358,0.9911236,0.0034581022,0.9755434,-0.0035574061
35,0,0.20288205588836272,0.7971179441116373,0.07000565279996646,0.4084792973768011,0.14630690635955038,0.06820229228066456,0.9317977077193355,0.23923152928843472,0.6254302014553842,-0.619451972597714,0.018965393,0.98103464,0.006630933,0.96545434,0.006821349
39,0,0.1818623468195068,0.8181376531804931,0.04898594373111054,0.42949900644565703,0.1023771880662361,0.27222186148499566,0.7277781385150044,0.0352119600841036,0.4214106322510531,-0.09117576683143502,0.011025378,0.98897463,0.0013090828,0.9733944,-0.0013466749
41,0,0.14720181009923627,0.8527981899007637,0.014325407010840008,0.46415954316592756,0.0299390963196392,0.4714460774563385,0.5285539225436615,0.16401225588723922,0.22218641627971025,0.4246836348943699,0.006884573,0.9931154,0.0054498874,0.9775352,-0.005606388
46,0,0.16289573488752557,0.8371042651124745,0.0300193317991293,0.44846561837763826,0.06273829884939788,0.5732925055051877,0.42670749449481227,0.26585868393608847,0.120339988230861,0.6883987519800706,0.019890482,0.9801095,0.007556021,0.9645293,0.007773002
47,0,0.10323861427977823,0.8967613857202218,0.029637788808618032,0.5081227389853856,-0.06194090074864191,0.25247201524236307,0.7475279847576369,0.054961806326736196,0.44116047849368567,-0.14231485058803311,0.018607024,0.981393,0.0062725637,0.96581274,0.0064526885
49,0,0.10354642501532167,0.8964535749846784,0.029329978073074595,0.5078149282498422,-0.06129759789150979,0.5793812178711268,0.42061878212887316,0.2719473963020276,0.1142512758649219,0.7041645036637197,0.01401147,0.98598856,0.0016770093,0.9704083,0.0017251668
53,0,0.0678875588306373,0.9321124411693626,0.06498884425775897,0.5434737944345265,-0.1358221282273351,0.24354148586113814,0.7564585141388619,0.06389233570796113,0.45009100787491063,-0.16543903517187952,0.007827356,0.99217266,0.004507104,0.9765924,-0.004636531
54,0,0.07336127608295988,0.9266387239170402,0.05951512700543639,0.538000077182204,-0.12438244292417057,0.7236225298253015,0.2763774701746985,0.41618870825620224,0.02999003608925277,1.0776544256897094,0.0037144208,0.99628556,0.00862004,0.9807053,-0.008867575
55,0,0.2058258332225541,0.7941741667774459,0.07294943013415783,0.40553552004260973,0.1524591946041521,0.6397128919838985,0.36028710801610153,0.3322790704147992,0.05391960175215027,0.8603837722962407,0.019621275,0.98037875,0.007286815,0.9647985,0.0074960655
57,0,0.20723202585248274,0.7927679741475173,0.07435562276408647,0.4041293274126811,0.15539803861462548,0.17692043411825667,0.8230795658817434,0.1305133874508426,0.5167120596177921,-0.3379436462547522,0.035746507,0.9642535,0.023412047,0.94867325,0.024084354
59,0,0.10278913960912839,0.8972108603908716,0.03008726347926788,0.5085722136560354,-0.06288027129829828,0.4657488244076146,0.5342511755923853,0.15831500283851535,0.22788366932843412,0.4099315048138682,0.004604149,0.99539584,0.0077303112,0.9798156,-0.007952297
61,0,0.12754010144387704,0.8724598985561229,0.005336301644519231,0.48382125182128677,-0.01115249631685977,0.025286128028769894,0.97471387197123,0.28214769354032937,0.6683463657072788,-0.7305765500362984,0.015081055,0.98491895,0.002746595,0.9693387,0.0028254671
63,0,0.08665509214292898,0.913344907857071,0.04622131094546729,0.5247062611222348,-0.09659929936854161,0.36769361239835757,0.6323063876016424,0.06025979082925831,0.32593888133769117,0.1560331383097264,0.0091722,0.9908278,0.0031622602,0.97524756,-0.0032530685
64,0,0.18868099577105304,0.811319004228947,0.05580459268265678,0.4226803574941108,0.11662768632961347,0.6667892370494105,0.3332107629505895,0.35935541548031125,0.02684325668663823,0.9304936587792457,0.014011872,0.98598814,0.0016774116,0.9704079,0.0017255807
65,0,0.10848552494207475,0.8915144750579252,0.024390878146321515,0.5028758283230891,-0.050975225317558576,0.1112979371357245,0.8887020628642754,0.19613588443337476,0.5823345566003242,-0.5078626587006684,0.008443167,0.9915568,0.003891293,0.9759766,-0.004003037
67,0,0.1805014825550646,0.8194985174449354,0.04762507946666833,0.43085987071009924,0.09953307716172496,0.037712673253998755,0.9622873267460013,0.2697211483151005,0.65591982048205,-0.6983999887977425,0.026191972,0.97380805,0.013857512,0.9582278,0.014255448
68,0,0.18919124462551262,0.8108087553744874,0.056314841537116356,0.4221701086396512,0.11769407066264438,0.6262404020177007,0.3737595979822993,0.31880658044860144,0.06739209171834804,0.8254989036077909,0.009519455,0.99048054,0.0028150054,0.9749003,-0.0028958418
70,0,0.14033307583900625,0.8596669241609938,0.007456672750609988,0.4710282774261576,0.015583923272519347,0.324400995159524,0.6755990048404761,0.01696717359042471,0.36923149857652476,0.043933795772063106,0.009075726,0.9909243,0.003258734,0.97534406,-0.0033523128
71,0,0.11309397713908659,0.8869060228609134,0.01978242594930968,0.49826737612607724,-0.04134388331754514,0.20861445773310994,0.7913855422668901,0.09881936383598933,0.4850180360029388,-0.25587701604854507,0.009473288,0.99052674,0.002861172,0.9749465,-0.0029433342
73,0,0.10458878012606902,0.895411219873931,0.028287622962327244,0.5067725731390949,-0.059119148788017044,0.5853302202253864,0.4146697797746136,0.2778963986562871,0.10830227351066235,0.7195684985062702,0.014406337,0.9855937,0.002071877,0.97001344,0.0021313736
74,0,0.12412739712446408,0.8758726028755359,0.008749005963932188,0.48723395614069975,-0.018284809084799902,0.30759217067041267,0.6924078293295873,0.00015834910131340418,0.38604032306563607,0.000410019797387992,0.033167694,0.9668323,0.020833233,0.95125204,0.021431487
75,0,0.20706241263512012,0.7929375873648798,0.07418600954672386,0.4042989406300437,0.15504355888166846,0.6741571040280301,0.3258428959719699,0.3667232824589308,0.019475389708018653,0.9495715777614075,0.019325512,0.9806745,0.006991051,0.96509427,0.0071918084
76,0,0.16171244335602586,0.8382875566439741,0.028836040267629592,0.449648909909138,0.06026530250737592,0.08629557175932001,0.91370442824068,0.22113824980977925,0.6073369219767287,-0.5726023048421658,0.012724733,0.98727524,0.0003902726,0.971695,0.00040147977
78,0,0.10486239146599426,0.8951376085340057,0.02801401162240201,0.5064989617991695,-0.058547320270058115,0.3010364331942548,0.6989635668057452,0.006397388374844437,0.3925960605417939,-0.01656501908447504,0.0024007212,0.9975993,0.009933739,0.98201907,-0.010218999
79,0,0.1228159081543625,0.8771840918456375,0.01006049493403377,0.48854544511080134,-0.0210257290857677,0.01730016413692923,0.9826998358630707,0.29013365743217,0.6763323295991195,-0.7512549326082312,0.008024684,0.9919753,0.0043097762,0.9763951,-0.004433537
80,0,0.1756179263511436,0.8243820736488564,0.04274152326274733,0.43574342691402024,0.08932678707440485,0.5885581564484349,0.4114418435515651,0.28112433487933564,0.10507433728761384,0.7279267256460391,0.018543206,0.9814568,0.0062087458,0.9658766,0.006387038
82,0,0.10416484557884897,0.895835154421151,0.028711557509547292,0.5071965076863149,-0.06000514227028526,0.26262252122786317,0.7373774787721368,0.04481130034123609,0.43100997250818557,-0.11603173074055692,0.0056100255,0.99438995,0.006724435,0.9788097,-0.006917536
83,0,0.11162506832817275,0.8883749316718272,0.02125133476022352,0.49973628493699107,-0.04441379974933924,0.24896330977800232,0.7510366902219977,0.05847051179109694,0.44466918395804644,-0.1514000849951674,0.016049972,0.98395,0.0037155114,0.9683698,0.0038222072
86,0,0.07564906970115176,0.9243509302988482,0.057227333387244506,0.535712283564012,-0.11960111465596339,0.10957182837308294,0.8904281716269171,0.19786199319601633,0.5840606653629659,-0.5123321426400005,0.002648569,0.9973514,0.009685892,0.9817712,-0.009964035
87,0,0.14976938488679895,0.8502306151132011,0.01689298179840268,0.4615919683783649,0.035305147616788934,0.27991311974647154,0.7200868802535285,0.027520701822627724,0.4137193739895772,-0.0712604775884129,0.019721128,0.98027885,0.0073866677,0.9646986,0.0075987857
88,0,0.1843967726020648,0.8156032273979352,0.051520369513668535,0.42696458066309906,0.10767396026695358,0.5743350026103766,0.4256649973896234,0.26690118104127736,0.11929749112567212,0.6910981323257862,0.015137032,0.984863,0.0028025713,0.96928275,0.0028830508
89,0,0.11109094188451753,0.8889090581154825,0.02178546120387874,0.5002704113806463,-0.04553008656976671,0.1690556406003115,0.8309443593996885,0.13837818096878776,0.5245768531357372,-0.3583082774271383,0.014252789,0.9857472,0.0019183289,0.970167,0.0019734162
90,0,0.12703675198182912,0.8729632480181708,0.005839651106567145,0.4843246012833347,-0.012204461403456456,0.02212812400011341,0.9778718759998866,0.2853056975689858,0.6715043697359353,-0.7387536988880461,0.008967862,0.9910321,0.003366598,0.9754519,-0.003463274
91,0,0.16031819114659127,0.8396818088534087,0.027441788058195,0.45104316211857254,0.05735141313860996,0.22977415061821765,0.7702258493817824,0.07765967095088161,0.4638583431178311,-0.20108735878126008,0.011469256,0.98853076,0.00086520426,0.9729505,-0.00089004973
92,0,0.15960271722506575,0.8403972827749342,0.026726314136669482,0.4517586360400981,0.05585612280343599,0.00921663005707449,0.9907833699429255,0.29821719151202475,0.6844158636789742,-0.7721859576542218,0.004601727,0.9953983,0.0077327336,0.97981805,-0.007954789
93,0,0.12391223257252851,0.8760877674274715,0.008964170515867759,0.48744912069263535,-0.018734487913477964,0.6930706874561247,0.30692931254387534,0.3856368658870254,0.0005618062799240819,0.9985452920467804,0.007222684,0.9927773,0.0051117763,0.97719705,-0.0052585676
94,0,0.16497067774154833,0.8350293222584517,0.032094274653152066,0.4463906755236155,0.06707478394314266,0.16608757467434931,0.8339124253256507,0.14134624689474995,0.5275449190616994,-0.36599361178965295,0.009023801,0.9909762,0.003310659,0.975396,-0.0034057288
95,0,0.14232920096247478,0.8576707990375252,0.009452797874078517,0.469032152302689,0.01975568483519984,0.9972948197025467,0.002705180297453258,0.6898609981334475,0.303662325966498,1.7862852667583178,0.0072765457,0.99272346,0.0050579146,0.9771432,-0.0052031595
98,0,0.09264279654695354,0.9073572034530465,0.04023360654144273,0.5187185567182103,-0.08408541695319603,0.7073573029685862,0.29264269703141377,0.39992348139948697,0.013724809232537494,1.0355382092732945,0.018991478,0.9810085,0.0066570174,0.9654283,0.0068481825
99,0,0.08240537558072986,0.9175946244192701,0.05047102750766641,0.5289559776844339,-0.10548090904221921,0.15259247005195348,0.8474075299480466,0.1548413515171458,0.5410400236840953,-0.400937037531319,0.0033295804,0.9966704,0.00900488,0.9810902,-0.009263467
100,0,0.12164777728501523,0.8783522227149848,0.011228625803381034,0.4897135759801486,-0.02346704070678257,0.7149775359419092,0.28502246405809084,0.4075437143728099,0.02134504220586042,1.0552695898359619,0.010419537,0.98958045,0.0019149231,0.9740002,-0.0019699126
103,0,0.11596775874102659,0.8840322412589734,0.016908644347369675,0.4953935945241372,-0.0353378812460519,0.11510047520418255,0.8848995247958175,0.19233334636491672,0.5785320185318662,-0.49801659152720523,0.008030064,0.99196994,0.004304396,0.9763897,-0.0044280025
105,0,0.0987050923172335,0.9012949076827665,0.03417131077116277,0.5126562609479304,-0.0714156438118666,0.10490282314667167,0.8950971768533283,0.2025309984224276,0.5887296705893771,-0.5244217886250931,0.006098328,0.99390167,0.0062361322,0.97832143,-0.006415211
106,0,0.13635303292608283,0.8636469670739172,0.003476629837686568,0.475008320339081,0.007265912619408803,0.09427355003200616,0.9057264499679938,0.2131602715370931,0.5993589437040425,-0.5519445997601624,0.011850552,0.98814946,0.0004839087,0.9725692,-0.0004978048
